Wall time,Step,Value
1706007849.641405,213,-219.10093688964844
1706007849.9636388,214,-115.51995849609375
1706007850.3539321,215,-328.36065673828125
1706007850.768915,216,-340.5802001953125
1706007851.6798701,217,-66.1825180053711
1706007852.8965967,218,-305.9066162109375
1706007853.8509593,219,-232.46148681640625
1706007854.983616,220,-441.83026123046875
1706007856.3113112,221,-272.8462829589844
1706007857.1701572,222,-14.783464431762695
1706007857.392005,223,-117.9637222290039
1706007857.9971414,224,-205.05740356445312
1706007859.3189995,226,-14.321722984313965
1706007859.5311785,227,-20.17100715637207
1706007859.7172494,228,-72.60041809082031
1706007859.936983,229,-30.128177642822266
1706007860.6123722,230,-38.98894119262695
1706007860.7620823,231,-37.70446014404297
1706007860.9075093,232,-43.31122970581055
1706007861.0359964,233,-52.65248107910156
1706007861.2108672,234,-37.89667892456055
1706007861.3771057,235,-79.25536346435547
1706007861.5542443,236,-65.34868621826172
1706007861.7243228,237,-56.47340393066406
1706007861.8554506,238,-33.98285675048828
1706007862.0753376,239,-69.61457061767578
1706007862.2115889,240,-16.812475204467773
1706007862.354428,241,-19.164676666259766
1706007862.462677,242,-34.81376266479492
1706007862.6113722,243,-40.39024353027344
1706007862.7348692,244,-105.76210021972656
1706007862.9607108,245,-33.580501556396484
1706007864.2340093,246,-37.24370193481445
1706007864.3507543,247,-79.75977325439453
1706007864.4889019,248,-72.79324340820312
1706007864.6266167,249,-39.427146911621094
1706007864.8085794,250,-45.414588928222656
1706007864.9977481,251,-25.262704849243164
1706007865.214253,252,-27.00101661682129
1706007865.4273255,253,-19.382104873657227
1706007865.6227412,254,-6.924138069152832
1706007865.8263736,255,11.073622703552246
1706007866.0113118,256,-62.973480224609375
1706007866.1684642,257,-45.53256607055664
1706007866.3364472,258,-68.7048110961914
1706007866.778433,259,-31.662595748901367
1706007866.9639406,260,-3.654758930206299
1706007867.1146762,261,-31.567615509033203
1706007867.3771238,262,-30.721181869506836
1706007867.5618827,263,-47.43826675415039
1706007867.7236245,264,33.685462951660156
1706007867.920824,265,-67.94369506835938
1706007868.0911407,266,-21.11547088623047
1706007869.0689619,268,-65.7027816772461
1706007869.2474618,269,6.039525985717773
1706007871.618416,270,-86.62450408935547
1706007874.127817,271,-7.134878635406494
1706007874.5400748,272,-14.149663925170898
1706007874.9029918,273,11.300515174865723
1706007875.2354972,274,-79.82179260253906
1706007875.453154,275,-21.507171630859375
1706007875.669055,276,10.778358459472656
1706007876.2174761,277,-88.34368896484375
1706007879.2592223,278,-107.24372863769531
1706007880.2543168,279,-53.11506652832031
1706007880.5262318,280,-2.3317201137542725
1706007880.8538542,281,-29.63298225402832
1706007881.0753806,282,-29.72782325744629
1706007881.5902874,283,-134.93243408203125
1706007881.9697864,284,-18.74891471862793
1706007882.18317,285,-44.47379684448242
1706007882.4674296,286,-176.0229034423828
1706007882.7458622,287,-10.739567756652832
1706007885.8227644,288,-39.73101043701172
1706007890.3771822,290,8.195297241210938
1706007890.959903,292,-20.484804153442383
1706007891.5399826,293,-55.60340118408203
1706007891.7541306,294,5.301323890686035
1706007892.4167097,295,-147.5012664794922
1706007892.856897,296,-48.36543655395508
1706007893.1266756,297,-13.448973655700684
1706007893.6134005,298,-70.37823486328125
1706007895.2491972,299,-165.96978759765625
1706007896.0115004,300,9.692729949951172
1706007896.912139,301,-84.90232849121094
1706007897.2162998,302,-9.736479759216309
1706007900.1332452,303,-32.623653411865234
1706007900.6192727,304,-94.45948028564453
1706007900.848628,305,-23.380970001220703
1706007901.1066282,306,21.115741729736328
1706007901.6257725,308,-141.23092651367188
